SampleID	ttv_ct	ttv_copy	ttv_presence	rv_ct	rv_copy	rv_presence	small_circular_virus
CORE0260.V4.COVID.OP.PRO	50	0	Negative	21.90873019	2404576.604	Positive	2404576.604
CORE0196.V3.COVID.OP.PRO	50	0	Negative	24.06678581	220602.0573	Positive	220602.0573
CORE0248.V2.COVID.OP.PRO	50	0	Negative	25.33306758	138491.0026	Positive	138491.0026
CORE0203.V3.COVID.OP.PRO	50	0	Negative	25.17985662	107148.0352	Positive	107148.0352
CORE0221.V1.COVID.OP.PRO	50	0	Negative	25.62192472	73821.08724	Positive	73821.08724
CORE0196.V6.COVID.OP.PRO	50	0	Negative	26.17271932	49146.05599	Positive	49146.05599
CORE0204.V1.COVID.OP.PRO	35.03816986	27.777	Positive	29.20874977	30286.22571	Positive	30286.22571
CORE0227.V1.COVID.OP.PRO	50	0	Negative	27.19131152	26067.78337	Positive	26067.78337
CORE0211.V1.COVID.OP.PRO	37.38286972	3.392	Positive	29.10970561	19764.91677	Positive	19764.91677
CORE0197.V4.COVID.OP.PRO	50	0	Negative	31.25070572	16232.77297	Positive	16232.77297
CORE0248.V3.COVID.OP.PRO	50	0	Negative	29.54088338	13209.88127	Positive	13209.88127
CORE0205.V2.COVID.OP.PRO	50	0	Negative	30.5138429	6372.855428	Positive	6372.855428
CORE0295.V1.nonCOVID.OP.PS	50	0	Negative	34.62224197	1761.377507	Positive	1761.377507
CORE0203.V4.COVID.OP.PRO	50	0	Negative	31.27158674	1506.519033	Positive	1506.519033
CORE0221.V2.COVID.OP.PRO	50	0	Negative	33.20122147	1106.850712	Positive	1106.850712
CORE0260.V3.COVID.OP.PRO	50	0	Negative	34.73281924	499.5622937	Positive	499.5622937
CORE0203.V2.COVID.OP.PRO	37.55819321	8.0001	Positive	32.87889163	388.4609375	Positive	388.4609375
CORE0211.V2.COVID.ETA.PRO	50	0	Negative	32.18125343	288.1639938	Positive	288.1639938
CORE0203.V2.COVID.ETA.PRO	50	0	Negative	36.11144002	205.7604586	Positive	205.7604586
CORE0227.V2.COVID.OP.PRO	50	0	Negative	37.63503456	54.31451797	Positive	54.31451797
CORE0204.V2.COVID.OP.PRO	50	0	Negative	36.73073387	23.81450915	Positive	23.81450915
CORE0203.V1.COVID.OP.PRO	50	0	Negative	38.39667511	3.127684593	Positive	3.127684593
CORE0255.V1.COVID.NP.PRO	8.023150444	2004329344	Positive	50	0	Negative	2004329344
CORE0203.V4.COVID.ETA.PRO	13.27375746	127563812	Positive	50	0	Negative	127563812
CORE0187.V1.nonCOVID.OP.PS	26.52873103	102931.9338	Positive	50	0	Negative	102931.9338
CORE0187.V3.nonCOVID.NP.PS	27.96755981	60916.05491	Positive	50	0	Negative	60916.05491
CORE0263.V6.COVID.ETA.PRO	25.14343071	60431.699	Positive	50	0	Negative	60431.699
